iter	Passed	Remaining
1098	164517	134877
1099	164748	134794
1100	164919	134662
1101	165062	134506
1102	165214	134358
1103	165382	134223
1104	165533	134074
1105	165666	133911
1106	165811	133757
1107	165969	133614
1108	166125	133469
1109	166263	133310
1110	166436	133178
1111	166598	133039
1112	166758	132897
1113	166927	132763
1114	167098	132629
1115	167291	132514
1116	167526	132431
1117	167717	132313
1118	167870	132166
1119	168023	132018
1120	168185	131878
1121	168460	131825
1122	168653	131709
1123	168795	131552
1124	168984	131432
1125	169121	131272
1126	169380	131206
1127	169614	131120
1128	169786	130987
1129	169996	130882
1130	170224	130791
1131	170359	130628
1132	170472	130449
1133	170627	130302
1134	170819	130184
1135	171146	130167
1136	171378	130078
1137	171561	129952
1138	171739	129822
1139	171943	129711
1140	172200	129641
1141	172389	129518
1142	172519	129351
1143	172642	129180
1144	172843	129066
1145	173059	128964
1146	173265	128853
1147	173461	128736
1148	173736	128677
1149	173926	128554
1150	174097	128418
1151	174279	128288
1152	174467	128164
1153	174664	128046
1154	174877	127940
1155	175038	127796
1156	175216	127664
1157	175382	127523
1158	175541	127377
1159	175695	127228
1160	175967	127163
1161	176245	127102
1162	176441	126983
1163	176613	126846
1164	176773	126700
1165	177013	126611
1166	177277	126539
1167	177479	126423
1168	177666	126296
1169	177862	126175
1170	178031	126035
1171	178224	125912
1172	178489	125840
1173	178775	125782
1174	178951	125646
1175	179157	125531
1176	179323	125389
1177	179518	125266
1178	179698	125133
1179	179949	125049
1180	180215	124976
1181	180421	124860
1182	180591	124719
1183	180797	124604
1184	180981	124472
1185	181145	124327
1186	181343	124205
1187	181521	124070
1188	181727	123954
1189	181901	123815
1190	182074	123676
1191	182216	123516
1192	182379	123369
1193	182527	123213
1194	182666	123051
1195	182823	122901
1196	182957	122736
1197	183099	122575
1198	183248	122420
1199	183403	122269
1200	183594	122141
1201	183807	122028
1202	184016	121912
1203	184188	121772
1204	184368	121636
1205	184559	121509
1206	184751	121381
1207	184947	121256
1208	185147	121134
1209	185336	121004
1210	185513	120866
1211	185699	120735
1212	185884	120602
1213	186105	120493
1214	186282	120355
1215	186488	120236
1216	186707	120124
1217	186941	120022
1218	187108	119878
1219	187315	119759
1220	187469	119605
1221	187624	119453
1222	187775	119297
1223	187957	119162
1224	188168	119045
1225	188368	118920
1226	188538	118777
1227	188732	118649
1228	188897	118502
1229	189083	118369
1230	189248	118222
1231	189557	118165
1232	189711	118011
1233	189831	117836
1234	190008	117697
1235	190194	117563
1236	190373	117425
1237	190621	117329
1238	190894	117248
1239	191121	117138
1240	191320	117012
1241	191538	116896
1242	191793	116804
1243	191997	116680
1244	192207	116559
1245	192421	116441
1246	192628	116318
1247	192871	116217
1248	193167	116147
1249	193407	116044
1250	193570	115894
1251	193775	115769
1252	193964	115635
1253	194140	115493
1254	194308	115346
1255	194608	115277
1256	194796	115142
1257	194996	115014
1258	195254	114919
1259	195480	114805
1260	195695	114685
1261	195818	114511
1262	195983	114362
1263	196155	114216
1264	196294	114052
1265	196439	113891
1266	196587	113731
1267	196779	113598
1268	196963	113459
1269	197158	113327
1270	197364	113201
1271	197563	113070
1272	197757	112937
1273	197965	112812
1274	198178	112689
1275	198357	112547
1276	198572	112425
1277	198763	112290
1278	198955	112155
1279	199120	112005
1280	199316	111872
1281	199466	111713
1282	199593	111541
1283	199735	111378
1284	199876	111215
1285	200011	111048
1286	200137	110876
1287	200274	110710
1288	200423	110551
1289	200670	110446
1290	200893	110327
1291	201021	110157
1292	201173	109999
1293	201329	109844
1294	201497	109695
1295	201666	109547
1296	201817	109389
1297	201981	109238
1298	202167	109098
1299	202364	108965
1300	202634	108871
1301	202902	108775
1302	203100	108642
1303	203282	108500
1304	203472	108362
1305	203658	108222
1306	203810	108064
1307	203997	107925
1308	204217	107803
1309	204449	107686
1310	204601	107528
1311	204754	107371
1312	204907	107213
1313	205044	107047
1314	205179	106880
1315	205366	106740
1316	205563	106605
1317	205789	106485
1318	205989	106352
1319	206109	106177
1320	206239	106008
1321	206375	105841
1322	206555	105697
1323	206831	105602
1324	207076	105491
1325	207322	105381
1326	207515	105243
1327	207672	105087
1328	207819	104926
1329	208016	104790
1330	208226	104660
1331	208475	104550
1332	208634	104395
1333	208800	104243
1334	208965	104091
1335	209207	103977
1336	209394	103836
1337	209556	103682
1338	209689	103513
1339	209836	103352
1340	210009	103203
1341	210244	103085
1342	210470	102962
1343	210727	102854
1344	210970	102740
1345	211104	102572
1346	211272	102420
1347	211428	102263
1348	211598	102113
1349	211867	102010
1350	212049	101865
1351	212218	101714
1352	212372	101555
1353	212567	101416
1354	212785	101288
1355	213027	101172
1356	213173	101010
1357	213329	100852
1358	213473	100689
1359	213620	100527
1360	213773	100368
1361	213916	100204
1362	214100	100060
1363	214307	99926
1364	214533	99801
1365	214658	99629
1366	214800	99464
1367	214936	99298
1368	215059	99125
1369	215181	98951
1370	215329	98790
1371	215471	98626
1372	215607	98460
1373	215767	98304
1374	215903	98138
1375	216141	98017
1376	216403	97907
1377	216576	97757
1378	216763	97614
1379	216936	97464
1380	217131	97323
1381	217365	97201
1382	217541	97052
1383	217783	96932
1384	217996	96799
1385	218198	96662
1386	218308	96483
1387	218424	96308
1388	218556	96139
1389	218790	96016
1390	219037	95897
1391	219171	95730
1392	219282	95552
1393	219415	95384
1394	219567	95224
1395	219815	95106
1396	220066	94989
1397	220219	94830
1398	220378	94672
1399	220519	94508
1400	220672	94348
1401	220835	94193
1402	221022	94048
1403	221240	93916
1404	221449	93781
1405	221662	93646
1406	221834	93495
1407	221993	93338
1408	222140	93176
1409	222290	93015
1410	222448	92857
1411	222620	92706
1412	222805	92559
1413	222961	92401
1414	223121	92244
1415	223261	92079
1416	223399	91913
1417	223540	91749
1418	223774	91623
1419	224042	91510
1420	224209	91356
1421	224373	91201
1422	224499	91030
1423	224644	90867
1424	224804	90710
1425	224975	90557
1426	225139	90402
1427	225275	90236
1428	225428	90076
1429	225594	89922
1430	225762	89768
1431	226023	89651
1432	226218	89508
1433	226374	89350
1434	226519	89187
1435	226680	89030
1436	226856	88879
1437	227019	88723
1438	227166	88561
1439	227332	88407
1440	227500	88253
1441	227645	88090
1442	227843	87948
1443	228046	87807
1444	228202	87648
1445	228314	87473
1446	228475	87316
1447	228619	87153
1448	228745	86983
1449	228932	86836
1450	229057	86666
1451	229240	86517
1452	229469	86386
1453	229671	86245
1454	229820	86083
1455	230009	85937
1456	230168	85779
1457	230334	85625
1458	230468	85458
1459	230610	85294
1460	230779	85140
1461	230950	84987
1462	231156	84846
1463	231267	84671
1464	231396	84503
1465	231524	84334
1466	231658	84167
1467	231908	84043
1468	232133	83909
1469	232377	83782
1470	232614	83652
1471	232805	83506
1472	232987	83356
1473	233140	83196
1474	233406	83076
1475	233662	82953
1476	233835	82800
1477	234012	82648
1478	234178	82492
1479	234307	82324
1480	234460	82164
1481	234591	81996
1482	234755	81839
1483	234950	81694
1484	235144	81548
1485	235375	81415
1486	235596	81278
1487	235785	81130
1488	235921	80964
1489	236094	80810
1490	236247	80650
1491	236402	80490
1492	236560	80332
1493	236692	80164
1494	236856	80008
1495	237053	79863
1496	237250	79717
1497	237411	79559
1498	237537	79390
1499	237708	79236
1500	237944	79103
1501	238173	78968
1502	238341	78812
1503	238542	78668
1504	238749	78525
1505	238933	78375
1506	239122	78226
1507	239372	78097
1508	239529	77938
1509	239692	77780
1510	239857	77624
1511	240038	77472
1512	240225	77323
1513	240370	77159
1514	240509	76994
1515	240683	76840
1516	240901	76700
1517	241120	76561
1518	241249	76393
1519	241358	76218
1520	241465	76043
1521	241594	75875
1522	241723	75707
1523	241883	75549
1524	242030	75386
1525	242202	75231
1526	242341	75067
1527	242481	74902
1528	242651	74747
1529	242851	74601
1530	243128	74478
1531	243333	74334
1532	243492	74175
1533	243632	74011
1534	243780	73848
1535	243988	73704
1536	244213	73566
1537	244350	73400
1538	244516	73243
1539	244672	73083
1540	244928	72953
1541	245194	72826
1542	245470	72702
1543	245753	72580
1544	245975	72439
1545	246245	72312
1546	246397	72151
1547	246599	72004
1548	246794	71855
1549	247092	71736
1550	247307	71593
1551	247506	71445
1552	247729	71304
1553	247912	71151
1554	248067	70990
1555	248232	70832
1556	248404	70676
1557	248585	70523
1558	248764	70368
1559	248966	70221
1560	249109	70057
1561	249245	69890
1562	249443	69742
1563	249660	69598
1564	249831	69441
1565	249984	69280
1566	250133	69117
1567	250314	68964
1568	250473	68804
1569	250653	68650
1570	250825	68493
1571	250991	68336
1572	251146	68175
